date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1985-05-21,1985,5,15,878,8.941176,22.09845,13.24761,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-06-01,1985,6,16,879,0.0,22.99197,13.25472,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-06-11,1985,6,17,880,9.914027,22.51606,13.73434,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-06-21,1985,6,18,881,7.533937,22.13696,13.53369,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-07-01,1985,7,19,882,0.0,22.39487,12.82165,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-07-11,1985,7,20,883,1.760181,22.2243,12.77861,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-07-21,1985,7,21,884,5.00905,23.0663,12.57077,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-08-01,1985,8,22,885,0.9049774,23.11028,12.85956,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-08-11,1985,8,23,886,0.05429864,22.95723,13.06119,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-08-21,1985,8,24,887,0.1266968,22.59766,13.52285,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-09-01,1985,9,25,888,45.1267,22.54127,13.41937,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-09-11,1985,9,26,889,24.95023,23.13385,13.23955,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-09-21,1985,9,27,890,28.13575,22.43852,13.63025,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-10-01,1985,10,28,891,31.25339,23.5411,13.36919,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
